GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,POS_7DAYAVG,NEGATIVE,NEG_NEW,NEG_7DAYAVG,DEATHS,DTH_NEW,DTH_7DAYAVG,TEST_NEW,TEST_7DAYAVG,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,OBJECTID
55087,County,Outagamie,2021/10/14 19:00:00+00,24525,51,65.29,107767,143,176.57,241,1,0.71,194,241.86,1032,14645,8848,12652,11800,73,1348,3171,4209,3857,3608,3855,2471,1198,599,209,116,125,-999,-999,-999,-999,-999,7,14,21,60,85,50,667,751,422,19131,1101,2453,1357,18727,4441,7,8,-999,221,-999,-999,9,229,-999,1170,11112,12243,1965341
55089,County,Ozaukee,2021/10/14 19:00:00+00,10625,31,36.43,54317,171,123.43,105,0,0.14,202,159.86,537,3363,6725,5431,5174,20,835,1534,1407,1406,1395,1682,1266,620,344,136,42,63,-999,-999,-999,-999,-999,-999,-999,-999,20,41,36,31,196,216,9654,295,233,350,9595,680,-999,-999,-999,100,-999,-999,-999,103,-999,449,3553,6623,1961033
55091,County,Pepin,2021/10/14 19:00:00+00,1097,3,3.43,4106,17,10,10,0,0,20,13.43,50,901,146,550,547,-999,91,155,113,153,150,167,148,91,28,-999,-999,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,-999,-999,-999,-999,1030,20,40,25,1026,46,-999,-999,-999,9,-999,-999,-999,9,-999,40,369,688,1960435
55093,County,Pierce,2021/10/14 19:00:00+00,4990,9,19.57,21341,25,39.43,39,0,0.14,34,59,180,3497,1313,2533,2456,-999,305,807,939,698,698,698,472,221,126,26,9,30,-999,-999,-999,-999,-999,-999,-999,-999,10,15,8,17,21,48,4627,72,205,122,4403,465,-999,-999,-999,39,-999,-999,-999,37,-999,336,3063,1591,1960579
55095,County,Polk,2021/10/14 19:00:00+00,6355,94,35.14,24249,41,41.43,69,0,0.57,135,76.57,301,3991,2063,3282,3047,26,353,913,758,886,926,1026,811,410,211,61,33,36,-999,-999,-999,-999,-999,-999,-999,10,14,18,21,71,17,25,5736,128,378,72,5491,792,-999,-999,-999,60,-999,5,-999,65,-999,316,3100,2939,1961104
55097,County,Portage,2021/10/14 19:00:00+00,8362,30,27.29,33908,62,62.43,89,0,0.29,92,89.71,433,4495,3434,4332,4029,-999,434,1094,1815,1178,1121,1160,830,441,211,78,37,52,-999,-999,-999,-999,-999,5,-999,17,20,34,12,25,247,104,7394,205,387,453,6856,1053,-999,-999,-999,85,-999,-999,-999,81,-999,564,6068,1730,1961233
55099,County,Price,2021/10/14 19:00:00+00,1586,8,10.29,6938,21,10.86,9,0,0,29,21.14,123,651,812,830,756,-999,74,195,161,174,218,264,256,156,73,14,-999,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7,17,-999,840,8,713,7,889,690,-999,-999,-999,8,-999,-999,-999,8,-999,42,279,1265,1960648
55101,County,Racine,2021/10/14 19:00:00+00,26899,44,63.57,114747,231,213,413,0,0.43,275,276.57,1752,21175,3972,13765,13112,22,1179,3019,4650,4558,4007,4195,2898,1448,688,257,184,229,-999,-999,-999,-999,5,10,44,65,102,120,66,132,244,4207,20083,1431,802,4731,20292,1876,-999,-999,59,346,5,-999,49,359,5,1518,12544,12837,1960537
55103,County,Richland,2021/10/14 19:00:00+00,1931,10,17.14,9325,28,18.86,20,0,0,38,36,128,1557,246,1013,917,-999,87,274,260,282,298,284,204,155,54,33,8,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,-999,-999,17,13,1459,55,386,89,1359,483,-999,-999,-999,19,-999,-999,-999,19,-999,158,1146,627,1960821
55105,County,Rock,2021/10/14 19:00:00+00,19301,39,39.86,92985,170,145.43,214,1,2,209,185.29,1111,13337,4853,9969,9163,169,1161,2358,3471,3029,2881,2992,1835,991,440,143,83,129,-999,-999,-999,-999,-999,10,20,33,56,66,27,64,239,1221,15492,1424,861,2554,14838,1909,-999,5,14,188,5,-999,18,196,-999,746,6586,11969,1960355
55107,County,Rusk,2021/10/14 19:00:00+00,2013,11,8.29,6406,9,9.57,33,1,0.29,20,17.86,163,988,862,1076,935,-999,106,263,249,248,249,331,260,196,81,30,15,18,-999,-999,-999,-999,-999,-999,-999,-999,13,7,10,6,7,13,1029,26,932,32,1381,600,-999,-999,-999,24,-999,9,-999,28,5,144,1255,614,1965026
55111,County,Sauk,2021/10/14 19:00:00+00,7707,54,33.29,41203,69,81.14,57,0,0,123,114.43,356,4340,3011,4013,3681,13,466,1035,1258,1283,1079,1081,809,464,174,58,21,36,-999,-999,-999,-999,-999,-999,5,7,17,16,12,161,48,125,6542,482,349,751,6250,706,-999,-999,-999,54,-999,-999,-999,54,-999,394,3989,3324,1958336
55113,County,Sawyer,2021/10/14 19:00:00+00,2203,19,9.57,10686,14,16.43,29,0,0,33,26,120,1479,604,1096,1105,-999,112,297,248,256,221,333,389,218,107,22,9,20,-999,-999,-999,-999,-999,-999,-999,-999,8,8,7,472,-999,9,1460,61,197,27,1912,264,5,-999,-999,24,-999,-999,-999,27,-999,113,1744,346,1958432
55115,County,Shawano,2021/10/14 19:00:00+00,5855,16,17.57,21491,51,34.43,77,0,0,67,52,287,4063,1505,3106,2742,7,315,668,785,815,788,1047,707,479,189,62,26,51,-999,-999,-999,-999,-999,-999,-999,8,24,25,16,733,32,24,4141,168,757,159,4206,1490,9,-999,-999,68,-999,-999,-999,75,-999,246,2156,3453,1958565
55117,County,Sheboygan,2021/10/14 19:00:00+00,16260,42,39.43,59759,109,93.71,167,1,1.57,151,133.14,826,7816,7618,7933,8226,101,705,1797,2709,2685,2378,2591,1848,923,455,169,68,98,-999,-999,-999,-999,-999,5,8,26,41,49,34,69,977,694,12592,578,1350,1515,11948,2797,-999,8,-999,152,-999,-999,8,157,-999,216,1872,14172,1958704
55109,County,St. Croix,2021/10/14 19:00:00+00,10538,22,42.29,49853,59,86.71,75,0,0,81,129,471,7329,2738,5388,5145,5,669,1702,1462,1582,1804,1589,962,495,189,84,26,49,-999,-999,-999,-999,-999,-999,-999,13,20,22,18,24,108,90,9254,225,837,267,9109,1162,-999,-999,-999,73,-999,-999,-999,73,-999,497,5365,4676,1958239
55119,County,Taylor,2021/10/14 19:00:00+00,2568,14,11.71,7736,21,15.43,31,1,0.14,35,27.14,131,1781,656,1403,1165,-999,158,296,298,371,379,426,336,187,92,25,15,16,-999,-999,-999,-999,-999,-999,-999,-999,9,13,8,-999,11,7,2383,31,134,88,2282,198,-999,-999,-999,30,-999,-999,-999,31,-999,136,1056,1376,1958965
55121,County,Trempealeau,2021/10/14 19:00:00+00,4649,11,13.29,15308,17,19.14,49,0,0,28,32.43,173,2076,2400,2394,2253,-999,291,653,691,769,630,678,440,312,146,39,22,27,-999,-999,-999,-999,-999,-999,-999,-999,15,15,12,15,19,32,4025,243,315,588,3588,473,-999,-999,-999,48,-999,-999,-999,48,-999,180,2189,2280,1958537
55123,County,Vernon,2021/10/14 19:00:00+00,2667,10,11.43,14989,31,26.14,52,1,0.14,41,37.57,133,1452,1082,1422,1243,-999,141,327,323,353,371,410,359,240,107,36,27,25,-999,-999,-999,-999,-999,-999,-999,8,13,16,9,-999,10,12,2528,41,73,39,2451,177,-999,-999,-999,51,-999,-999,-999,49,-999,137,935,1595,1959130
55125,County,Vilas,2021/10/14 19:00:00+00,2796,8,10.86,12028,15,20.43,49,0,0.29,23,31.29,160,1764,872,1480,1310,6,121,276,284,363,322,462,490,304,142,32,17,32,-999,-999,-999,-999,-999,-999,-999,-999,18,18,7,348,-999,5,1927,48,465,48,2206,542,5,-999,-999,41,-999,-999,-999,46,-999,85,809,1902,1958880
55127,County,Walworth,2021/10/14 19:00:00+00,11304,32,32.43,52001,96,133,156,0,0.43,128,165.43,520,4510,6274,5938,5344,22,420,1439,2463,1487,1470,1618,1212,668,345,182,80,75,-999,-999,-999,-999,-999,-999,8,15,46,40,43,50,64,165,9504,548,973,1594,8131,1579,-999,-999,-999,153,-999,-999,12,140,-999,362,3266,7676,1959220
55129,County,Washburn,2021/10/14 19:00:00+00,1980,8,7.43,8742,29,14.29,24,0,0.14,37,21.71,148,1211,621,1021,958,-999,128,239,200,232,258,326,282,210,78,27,9,15,-999,-999,-999,-999,-999,-999,-999,-999,10,-999,6,15,5,-999,1855,13,92,26,1911,43,-999,-999,-999,24,-999,-999,-999,24,-999,118,1569,293,1959317
55131,County,Washington,2021/10/14 19:00:00+00,19007,71,72.14,69957,166,119,196,0,0,237,191.14,676,5941,12390,9927,9054,26,1052,2557,2516,2695,2800,3278,2198,1175,549,187,87,109,-999,-999,-999,-999,-999,-999,11,18,44,71,49,52,261,295,17727,397,275,610,16045,2352,-999,-999,-999,192,-999,-999,-999,186,7,912,6557,11538,1959342
55133,County,Waukesha,2021/10/14 19:00:00+00,53906,137,135,234743,775,583,637,2,1.29,912,718,2782,25597,25527,27843,25890,173,3014,7593,7338,7543,7890,8742,6375,3217,1589,605,299,334,-999,-999,-999,-999,-999,7,31,63,141,249,146,159,1138,1083,46632,1882,3012,3194,40479,10233,-999,11,15,592,6,10,26,588,23,1489,13694,38723,1959447
55135,County,Waupaca,2021/10/14 19:00:00+00,6392,28,27.71,25637,42,36.71,137,1,0.43,70,64.43,384,3493,2515,3346,3035,11,269,706,843,826,930,1094,836,498,265,125,55,82,-999,-999,-999,-999,-999,-999,5,23,34,34,37,39,21,36,5244,310,742,228,4777,1387,-999,-999,-999,130,-999,-999,-999,132,-999,446,3585,2361,1959806
55137,County,Waushara,2021/10/14 19:00:00+00,2873,24,17,12900,17,19.29,45,1,0.29,41,36.29,186,1807,880,1298,1571,-999,98,279,365,426,424,552,394,221,89,25,17,28,-999,-999,-999,-999,-999,-999,-999,13,11,13,5,26,19,121,2424,131,152,360,2156,357,-999,-999,-999,42,-999,-999,-999,41,-999,149,1474,1250,1961152
55139,County,Winnebago,2021/10/14 19:00:00+00,22476,35,59,100819,140,174.71,225,1,0.57,175,233.71,1072,11578,9826,10832,11613,31,1133,2465,4437,3776,3045,3381,2385,1140,545,169,92,133,-999,-999,-999,-999,-999,5,18,38,53,71,37,157,649,973,18793,853,1051,1212,18199,3065,-999,8,-999,212,-999,-999,-999,218,-999,1001,6826,14649,1960287
55141,County,Wood,2021/10/14 19:00:00+00,9600,41,40.57,40842,76,69.86,115,2,0.71,117,110.43,409,5307,3884,5077,4521,-999,598,1263,1423,1372,1325,1427,1109,630,338,115,47,68,-999,-999,-999,-999,-999,-999,5,16,34,34,22,92,141,69,7802,273,1223,374,7762,1464,5,-999,-999,101,-999,7,-999,105,8,845,5967,2788,1960386
55035,County,Eau Claire,2021/10/14 19:00:00+00,14971,68,55.86,61232,91,,125,1,0.29,,,511,11902,2562,,,,1001,2165,3738,2326,1683,1663,1261,709,314,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,State,WI,2021/10/14 19:00:00+00,761913,2635,,3454572.5,,,8224,,,,,40731,445674,275404,392027,368339,1444,43358,99171,136493,119330,106493,109817,79014,41566,19588,6980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
