GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,NEGATIVE,NEG_NEW,DEATHS,DTH_NEW,TEST_NEW,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,OBJECTID
55037,County,Florence,2020/10/12 19:00:00+00,137,2,985,5,3,0,7,15,79,43,65,72,-999,5,-999,10,18,11,30,29,20,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,101,-999,35,-999,91,46,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,31,100,281698
55039,County,Fond du Lac,2020/10/12 19:00:00+00,3007,119,26112,246,15,0,365,164,2270,573,1537,1469,-999,94,291,597,438,402,523,395,186,72,9,5,10,-999,-999,-999,-999,-999,-999,-999,-999,5,-999,-999,-999,9,77,2467,90,360,349,2097,561,-999,-999,-999,14,-999,-999,-999,14,-999,224,1949,834,281704
55041,County,Forest,2020/10/12 19:00:00+00,371,8,2040,13,8,1,21,18,245,108,189,182,-999,20,29,54,37,23,54,62,53,28,11,-999,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,303,-999,15,-999,338,32,-999,-999,-999,6,-999,-999,-999,7,-999,12,125,234,281728
55043,County,Grant,2020/10/12 19:00:00+00,1419,19,14437,18,19,0,37,64,952,403,724,693,-999,29,238,513,123,117,149,122,64,41,23,10,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6,-999,7,7,1154,48,201,59,1106,254,-999,-999,-999,17,-999,-999,-999,18,-999,85,671,663,281739
55045,County,Green,2020/10/12 19:00:00+00,704,20,9307,90,3,0,110,45,463,196,341,363,-999,24,134,110,89,118,117,51,38,12,11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,649,26,20,60,604,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,48,412,244,281756
55047,County,Green Lake,2020/10/12 19:00:00+00,479,20,4546,55,2,1,75,23,215,241,254,225,-999,19,57,86,61,60,83,52,41,16,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,424,18,33,55,358,66,-999,-999,-999,-999,-999,-999,-999,-999,-999,23,173,283,281770
55049,County,Iowa,2020/10/12 19:00:00+00,302,26,6251,40,0,0,66,18,138,146,153,149,-999,12,32,59,47,24,58,42,17,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,277,6,16,15,266,21,-999,-999,-999,-999,-999,-999,-999,-999,-999,19,118,165,281781
55051,County,Iron,2020/10/12 19:00:00+00,153,1,1608,1,1,0,2,7,119,27,78,75,-999,9,19,15,26,18,21,28,10,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,113,-999,34,6,94,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,37,107,281791
55053,County,Jackson,2020/10/12 19:00:00+00,210,0,6854,9,1,0,9,8,140,62,104,106,-999,9,24,32,37,27,34,27,12,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,-999,-999,167,-999,5,11,195,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,84,121,281799
55055,County,Jefferson,2020/10/12 19:00:00+00,1904,25,21305,227,8,0,252,91,1245,568,970,933,-999,63,193,400,307,281,298,204,96,46,16,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,14,27,1480,187,171,376,1302,226,-999,-999,-999,8,-999,-999,-999,8,-999,102,765,1037,281807
55057,County,Juneau,2020/10/12 19:00:00+00,540,9,9811,29,2,0,38,30,193,317,232,297,11,6,41,115,74,75,83,76,55,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,-999,25,365,15,118,19,368,153,-999,-999,-999,-999,-999,-999,-999,-999,-999,23,176,341,281833
55059,County,Kenosha,2020/10/12 19:00:00+00,4000,33,40670,110,68,0,143,297,1753,1950,2058,1937,5,135,339,949,694,571,601,384,185,108,34,33,35,-999,-999,-999,-999,-999,-999,10,13,18,20,6,7,53,380,2838,330,392,923,2323,754,-999,-999,5,62,-999,-999,17,50,-999,409,3025,566,281844
55061,County,Kewaunee,2020/10/12 19:00:00+00,821,0,4550,12,3,0,12,28,470,323,431,389,-999,25,60,132,125,123,171,96,62,23,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,686,33,95,51,616,154,-999,-999,-999,-999,-999,-999,-999,-999,-999,23,253,545,281886
55063,County,La Crosse,2020/10/12 19:00:00+00,3566,31,28705,24,10,0,55,62,903,2601,1869,1688,9,33,818,1651,288,203,236,167,93,49,28,-999,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,111,78,2702,102,568,52,2677,837,-999,-999,-999,10,-999,-999,-999,10,-999,214,1452,1900,281894
55065,County,Lafayette,2020/10/12 19:00:00+00,403,3,3975,24,0,0,27,27,220,156,199,203,-999,19,39,80,67,56,68,49,14,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,320,44,36,87,289,27,-999,-999,-999,-999,-999,-999,-999,-999,-999,17,139,247,281924
55067,County,Langlade,2020/10/12 19:00:00+00,483,21,4089,89,2,0,110,15,359,109,259,224,-999,17,48,61,68,65,82,69,41,28,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,431,7,39,10,258,215,-999,-999,-999,-999,-999,-999,-999,-999,-999,38,229,216,281936
55069,County,Lincoln,2020/10/12 19:00:00+00,439,17,5952,225,4,0,242,34,267,138,237,202,-999,13,37,63,57,58,95,52,44,15,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,367,10,59,7,301,131,-999,-999,-999,-999,-999,-999,-999,-999,-999,23,163,253,281948
55071,County,Manitowoc,2020/10/12 19:00:00+00,1788,26,16216,296,6,0,322,82,983,723,982,806,-999,49,174,327,255,261,345,208,95,56,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,39,16,1540,31,157,138,1429,221,-999,-999,-999,5,-999,-999,-999,5,-999,130,898,760,281962
55073,County,Marathon,2020/10/12 19:00:00+00,2646,96,22528,15,30,0,111,146,2127,373,1360,1286,-999,90,249,519,437,396,424,283,161,69,18,13,17,-999,-999,-999,-999,-999,-999,-999,5,9,11,-999,10,159,27,2205,47,198,133,1639,874,-999,-999,-999,29,-999,-999,-999,25,5,175,1407,1064,281986
55075,County,Marinette,2020/10/12 19:00:00+00,1286,13,11028,29,9,0,42,69,833,384,664,620,-999,31,126,182,174,174,235,206,95,49,14,-999,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,6,8,1154,25,87,32,1142,112,-999,-999,-999,9,-999,-999,-999,9,-999,51,278,957,282019
55077,County,Marquette,2020/10/12 19:00:00+00,417,11,3736,36,2,0,47,22,379,16,197,220,-999,6,21,68,61,60,68,68,34,24,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,398,9,8,40,324,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,21,165,231,282038
55078,County,Menominee,2020/10/12 19:00:00+00,170,3,2905,5,0,0,8,15,148,7,92,78,-999,10,25,33,27,19,22,22,6,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,148,-999,-999,11,7,-999,-999,153,16,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19,151,282046
55079,County,Milwaukee,2020/10/12 19:00:00+00,32514,233,271860,415,549,0,648,2845,16711,12958,17229,15197,88,1415,3562,8047,6101,4745,3888,2506,1260,696,294,268,280,-999,-999,-999,6,6,21,43,100,142,138,93,206,1249,7839,16274,3942,3004,9634,18478,4402,-999,19,199,308,14,6,67,472,10,2044,14891,15579,282051
55081,County,Monroe,2020/10/12 19:00:00+00,785,21,11241,33,3,0,54,43,443,299,414,371,-999,31,102,132,138,109,120,76,58,17,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,13,6,7,692,36,31,100,636,49,-999,-999,-999,-999,-999,-999,-999,-999,-999,62,436,287,282349
55083,County,Oconto,2020/10/12 19:00:00+00,1548,46,10001,-2,4,0,44,78,1282,188,788,760,-999,40,118,203,197,220,315,256,145,48,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19,-999,-999,1394,29,104,58,1324,166,-999,-999,-999,-999,-999,-999,-999,-999,-999,104,998,446,282364
55085,County,Oneida,2020/10/12 19:00:00+00,761,5,9903,47,5,0,52,41,486,234,376,385,-999,23,69,93,87,79,141,136,101,28,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,-999,510,13,231,10,442,309,-999,-999,-999,-999,-999,-999,-999,-999,-999,35,373,353,282376
55103,County,Richland,2020/10/12 19:00:00+00,303,3,6198,18,4,0,21,12,200,91,156,146,-999,8,30,59,58,40,44,33,19,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,200,8,92,24,178,101,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,75,222,282445
55105,County,Rock,2020/10/12 19:00:00+00,3423,143,39359,29,36,0,172,223,2255,945,1763,1621,39,128,342,744,484,536,537,344,205,78,25,17,19,-999,-999,-999,-999,-999,-999,-999,5,10,8,-999,16,53,234,2521,300,299,595,2385,443,-999,-999,-999,29,-999,-999,8,28,-999,186,1712,1525,282476
55107,County,Rusk,2020/10/12 19:00:00+00,102,4,2411,2,1,0,6,4,23,75,58,44,-999,-999,8,15,12,16,19,10,13,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,62,-999,38,-999,61,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,8,31,63,282540
55109,County,St. Croix,2020/10/12 19:00:00+00,1232,22,18488,136,9,0,158,55,799,378,608,622,-999,49,149,247,185,199,193,116,69,13,12,-999,7,-999,-999,-999,-999,-999,-999,-999,-999,5,-999,-999,-999,11,9,1038,25,148,66,987,179,-999,-999,-999,9,-999,-999,-999,9,-999,96,692,444,282569
55111,County,Sauk,2020/10/12 19:00:00+00,1245,15,20918,269,6,0,284,46,632,567,655,589,-999,34,162,304,196,170,172,120,65,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,31,10,17,1003,126,58,204,954,87,-999,-999,-999,6,-999,-999,-999,6,-999,94,959,192,282589
55113,County,Sawyer,2020/10/12 19:00:00+00,284,2,4952,39,1,0,41,13,178,93,141,143,-999,13,41,40,37,25,36,56,22,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,49,-999,-999,182,13,38,-999,215,66,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,173,101,282608
