GEOID,GEO,NAME,DATE,POSITIVE,POS_NEW,NEGATIVE,NEG_NEW,DEATHS,DTH_NEW,TEST_NEW,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,IP_Y_0_9,IP_Y_10_19,IP_Y_20_29,IP_Y_30_39,IP_Y_40_49,IP_Y_50_59,IP_Y_60_69,IP_Y_70_79,IP_Y_80_89,IP_Y_90,IP_N_0_9,IP_N_10_19,IP_N_20_29,IP_N_30_39,IP_N_40_49,IP_N_50_59,IP_N_60_69,IP_N_70_79,IP_N_80_89,IP_N_90,IP_U_0_9,IP_U_10_19,IP_U_20_29,IP_U_30_39,IP_U_40_49,IP_U_50_59,IP_U_60_69,IP_U_70_79,IP_U_80_89,IP_U_90,IC_YES,IC_Y_0_9,IC_Y_10_19,IC_Y_20_29,IC_Y_30_39,IC_Y_40_49,IC_Y_50_59,IC_Y_60_69,IC_Y_70_79,IC_Y_80_89,IC_Y_90,OBJECTID
55115,County,Shawano,2020/07/23 19:00:00+00,119,1,5340,74,0,0,75,14,97,8,63,56,-999,5,-999,26,21,16,25,14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,-999,-999,62,5,42,12,76,31,-999,-999,-999,-999,-999,-999,-999,-999,-999,21,74,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172441
55117,County,Sheboygan,2020/07/23 19:00:00+00,433,14,12998,209,5,0,223,27,220,186,238,194,-999,10,58,101,60,64,58,45,22,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,13,12,331,33,44,87,299,47,-999,-999,-999,5,-999,-999,-999,5,-999,36,256,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172453
55119,County,Taylor,2020/07/23 19:00:00+00,37,3,1456,28,0,0,31,5,28,4,23,14,-999,-999,-999,5,-999,-999,8,7,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,-999,-999,-999,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,22,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172480
55121,County,Trempealeau,2020/07/23 19:00:00+00,245,3,4331,44,1,0,47,8,140,97,111,134,-999,20,23,70,54,29,20,17,11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,175,32,29,104,119,22,-999,-999,-999,-999,-999,-999,-999,-999,-999,14,186,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172487
55123,County,Vernon,2020/07/23 19:00:00+00,46,0,3319,14,0,0,14,8,25,13,25,21,-999,-999,-999,8,-999,-999,11,5,-999,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,43,-999,-999,-999,44,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172496
55125,County,Vilas,2020/07/23 19:00:00+00,21,1,1803,69,0,0,70,4,9,8,11,10,-999,-999,-999,-999,-999,-999,5,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,13,-999,7,-999,11,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172504
55127,County,Walworth,2020/07/23 19:00:00+00,993,10,12830,52,20,1,62,52,377,564,488,501,-999,18,73,265,170,147,126,97,36,40,21,12,8,-999,-999,-999,-999,-999,-999,-999,5,-999,6,6,-999,7,10,739,78,156,296,525,172,-999,-999,-999,20,-999,-999,-999,18,-999,61,369,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172510
55129,County,Washburn,2020/07/23 19:00:00+00,9,1,1525,22,0,0,23,0,9,0,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8,-999,-999,-999,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172533
55131,County,Washington,2020/07/23 19:00:00+00,631,23,11485,142,19,0,165,59,355,217,342,288,-999,14,55,110,82,90,118,75,39,32,16,12,7,-999,-999,-999,-999,-999,-999,-999,-999,5,8,-999,5,7,20,530,42,27,75,530,26,-999,-999,-999,19,-999,-999,-999,18,-999,76,436,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172539
55133,County,Waukesha,2020/07/23 19:00:00+00,2632,92,39986,1500,42,0,1592,231,1262,1139,1345,1285,-999,53,341,570,364,338,445,274,134,83,30,11,31,-999,-999,-999,-999,-999,-999,-999,-999,12,15,8,7,61,111,2003,126,324,302,1838,492,-999,-999,-999,31,-999,5,-999,33,5,273,1754,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172568
