OBJECTID,GEOID,GEO,NAME,NEGATIVE,POSITIVE,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DEATHS,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,IP_Y_0_9,IP_Y_10_19,IP_Y_20_29,IP_Y_30_39,IP_Y_40_49,IP_Y_50_59,IP_Y_60_69,IP_Y_70_79,IP_Y_80_89,IP_Y_90,IP_N_0_9,IP_N_10_19,IP_N_20_29,IP_N_30_39,IP_N_40_49,IP_N_50_59,IP_N_60_69,IP_N_70_79,IP_N_80_89,IP_N_90,IP_U_0_9,IP_U_10_19,IP_U_20_29,IP_U_30_39,IP_U_40_49,IP_U_50_59,IP_U_60_69,IP_U_70_79,IP_U_80_89,IP_U_90,IC_YES,IC_Y_0_9,IC_Y_10_19,IC_Y_20_29,IC_Y_30_39,IC_Y_40_49,IC_Y_50_59,IC_Y_60_69,IC_Y_70_79,IC_Y_80_89,IC_Y_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,DTH_NEW,POS_NEW,NEG_NEW,TEST_NEW,DATE
43688,55029,County,Door,807,37,6,16,15,20,17,-999,-999,-999,-999,8,5,-999,10,-999,-999,-999,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,25,-999,10,10,18,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,17,0,2,31,33,2020/05/23 14:00:00+00
43698,55031,County,Douglas,1016,17,1,16,0,10,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,16,-999,-999,-999,11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,7,10,-999,0,1,34,35,2020/05/23 14:00:00+00
43712,55033,County,Dunn,1686,21,5,11,5,9,12,-999,-999,-999,6,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,19,-999,-999,-999,19,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14,-999,0,0,5,5,2020/05/23 14:00:00+00
43721,55035,County,Eau Claire,3897,93,6,72,15,41,51,-999,-999,6,26,19,17,11,12,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,8,-999,77,-999,-999,6,85,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9,78,6,0,4,61,65,2020/05/23 14:00:00+00
43742,55037,County,Florence,237,2,0,2,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,4,4,2020/05/23 14:00:00+00
43745,55039,County,Fond du Lac,3646,158,22,117,19,92,66,-999,-999,8,24,33,19,28,27,12,-999,-999,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,25,97,5,30,39,87,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,104,39,0,3,302,305,2020/05/23 14:00:00+00
43766,55041,County,Forest,266,11,0,2,9,6,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,11,-999,-999,-999,11,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,0,0,4,4,2020/05/23 14:00:00+00
43771,55043,County,Grant,1893,81,5,55,21,52,29,-999,-999,-999,12,5,8,11,13,6,13,8,10,5,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,65,-999,15,-999,67,14,-999,-999,-999,10,-999,-999,-999,10,-999,19,32,30,0,0,28,28,2020/05/23 14:00:00+00
43784,55045,County,Green,1073,52,6,45,1,20,32,-999,-999,6,10,8,12,7,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,38,6,5,14,37,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,42,5,0,3,66,69,2020/05/23 14:00:00+00
43793,55047,County,Green Lake,645,14,4,9,1,6,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999,-999,-999,11,-999,-999,6,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,-999,0,1,143,144,2020/05/23 14:00:00+00
