OBJECTID,GEOID,GEO,NAME,LoadDttm,NEGATIVE,POSITIVE,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DEATHS,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,IP_Y_0_9,IP_Y_10_19,IP_Y_20_29,IP_Y_30_39,IP_Y_40_49,IP_Y_50_59,IP_Y_60_69,IP_Y_70_79,IP_Y_80_89,IP_Y_90,IP_N_0_9,IP_N_10_19,IP_N_20_29,IP_N_30_39,IP_N_40_49,IP_N_50_59,IP_N_60_69,IP_N_70_79,IP_N_80_89,IP_N_90,IP_U_0_9,IP_U_10_19,IP_U_20_29,IP_U_30_39,IP_U_40_49,IP_U_50_59,IP_U_60_69,IP_U_70_79,IP_U_80_89,IP_U_90,IC_YES,IC_Y_0_9,IC_Y_10_19,IC_Y_20_29,IC_Y_30_39,IC_Y_40_49,IC_Y_50_59,IC_Y_60_69,IC_Y_70_79,IC_Y_80_89,IC_Y_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,DTH_NEW,POS_NEW,NEG_NEW,TEST_NEW,DATE
115546,55,State,WI,2020/06/26 15:49:44+00,507168,26747,3351,15681,7715,13652,13018,77,875,2015,5740,4750,4218,3823,2594,1388,892,452,766,351,415,0,0,0,8,8,23,58,127,200,190,152,25,51,186,271,404,562,696,592,410,154,542,1263,3694,2953,2580,2310,1358,534,283,164,308,701,1860,1526,1234,951,540,262,199,134,741,2,3,26,37,91,130,204,146,74,28,257,1035,4744,14685,3214,2812,8483,15231,3033,10,22,182,531,9,12,85,666,15,2530,15342,8875,0,520,8607,9127,2020/06/26 14:00:00+00
117021,55,State,WI,2020/06/27 13:04:00+00,515723,27286,3382,16002,7902,13942,13272,72,900,2058,5950,4839,4287,3871,2623,1401,902,455,777,358,419,0,0,0,8,8,23,59,133,200,193,153,26,51,190,274,409,566,701,595,415,155,560,1290,3827,3003,2624,2338,1369,539,286,166,314,717,1933,1562,1254,967,553,267,201,134,746,2,3,26,37,91,131,206,147,75,28,266,1050,4807,15051,3262,2850,8609,15608,3069,10,23,183,538,11,12,90,672,15,2580,15668,9038,11,539,8555,9094,2020/06/27 14:00:00+00
118496,55,State,WI,2020/06/28 15:03:42+00,521747,27743,3393,16188,8162,14190,13479,74,922,2104,6136,4903,4344,3919,2639,1411,907,458,777,358,419,0,0,0,8,8,23,59,133,200,193,153,26,51,193,275,410,567,702,598,416,155,572,1311,3897,3032,2647,2359,1380,538,286,166,324,742,2046,1596,1287,993,557,275,205,137,746,2,3,26,37,91,131,206,147,75,28,266,1059,4866,15303,3332,2917,8679,15881,3183,10,23,183,538,11,12,90,672,15,2609,15814,9320,0,457,6024,6481,2020/06/28 14:00:00+00
119971,55,State,WI,2020/06/29 12:51:16+00,527359,28058,3407,16331,8320,14352,13632,74,933,2138,6254,4948,4376,3962,2659,1416,912,460,777,358,419,0,0,0,8,8,23,59,133,200,193,153,26,51,196,278,413,570,702,600,416,155,577,1334,3944,3053,2659,2381,1390,539,287,167,330,753,2114,1617,1304,1011,567,277,209,138,747,2,3,26,37,91,132,206,147,75,28,270,1068,4934,15487,3354,2945,8731,16102,3225,10,23,183,538,11,12,90,672,15,2625,15931,9502,0,315,5612,5927,2020/06/29 14:00:00+00
121446,55,State,WI,2020/06/30 13:08:45+00,539539,28659,3446,16722,8491,14652,13934,73,950,2195,6505,5031,4438,4021,2701,1432,924,462,784,363,421,0,0,0,8,8,23,59,133,204,193,156,27,51,203,283,416,574,709,607,419,157,599,1367,4098,3117,2709,2415,1413,544,292,168,324,777,2204,1631,1313,1032,579,281,213,137,750,2,3,26,37,91,132,206,149,76,28,280,1088,5022,15910,3398,2961,8843,16585,3231,10,23,184,544,12,11,90,680,14,2673,16342,9644,7,601,12180,12781,2020/06/30 14:00:00+00
122921,55,State,WI,2020/07/01 12:53:17+00,551607,29199,3482,17076,8641,14944,14183,72,968,2244,6685,5126,4512,4083,2738,1449,929,465,786,364,422,0,0,0,8,8,23,59,133,206,193,156,27,52,205,289,418,581,718,609,421,162,616,1397,4223,3172,2762,2457,1432,553,297,167,325,795,2257,1665,1332,1045,588,287,211,136,757,2,3,26,37,91,134,208,151,76,29,284,1109,5085,16281,3414,3026,8921,16976,3302,10,24,185,545,11,11,90,683,13,2713,16700,9786,2,540,12068,12608,2020/07/01 14:00:00+00
124396,55,State,WI,2020/07/02 12:47:38+00,563946,29738,3519,17394,8825,15260,14402,76,990,2310,6871,5200,4587,4140,2770,1466,937,467,793,368,425,0,0,0,8,8,24,60,133,206,197,157,29,52,207,295,423,589,723,612,425,164,627,1436,4329,3215,2806,2507,1454,556,296,168,334,822,2335,1690,1358,1044,593,298,216,135,763,2,3,26,37,91,134,210,153,77,30,285,1121,5174,16648,3446,3064,9016,17375,3347,10,23,188,551,10,11,91,689,13,2763,16989,9986,7,539,12339,12878,2020/07/02 14:00:00+00
125871,55,State,WI,2020/07/03 12:44:26+00,573553,30317,3555,17745,9017,15555,14688,74,1010,2364,7091,5284,4648,4209,2808,1489,947,467,796,370,426,0,0,0,8,8,24,60,134,206,199,157,29,52,211,300,425,593,728,622,429,166,638,1470,4468,3265,2850,2538,1476,569,302,169,343,842,2412,1719,1373,1078,604,298,216,132,768,2,3,26,37,91,136,211,155,77,30,288,1139,5244,17067,3488,3091,9121,17796,3400,10,23,188,554,10,11,91,692,13,2816,17340,10161,3,579,9607,10186,2020/07/03 14:00:00+00
127346,55,State,WI,2020/07/04 13:23:43+00,579637,31055,3574,18050,9431,15924,15057,74,1030,2433,7367,5431,4728,4292,2848,1504,954,468,796,370,426,0,0,0,8,8,24,60,134,206,199,157,27,52,214,301,427,596,729,629,432,167,646,1506,4588,3316,2882,2568,1492,577,306,169,357,875,2565,1814,1419,1128,627,298,216,132,771,2,3,26,37,91,137,213,155,77,30,294,1148,5335,17528,3571,3179,9265,18252,3538,10,23,188,554,10,11,91,692,13,2855,17655,10545,0,738,6084,6822,2020/07/04 14:00:00+00
128821,55,State,WI,2020/07/05 12:17:07+00,584111,31577,3586,18292,9699,16178,15324,75,1040,2497,7552,5522,4791,4355,2874,1517,960,469,796,370,426,0,0,0,8,8,24,60,134,206,199,157,28,52,216,305,428,596,732,629,433,167,653,1530,4658,3360,2912,2610,1503,589,308,169,359,915,2678,1857,1451,1149,639,299,219,133,771,2,3,26,37,91,137,213,155,77,30,297,1164,5412,17867,3631,3206,9355,18595,3627,10,23,188,554,10,11,91,692,13,2887,17878,10812,0,522,4474,4996,2020/07/05 14:00:00+00
130296,55,State,WI,2020/07/06 12:27:41+00,588913,32061,3602,18478,9981,16416,15570,75,1056,2542,7728,5606,4847,4413,2900,1530,967,472,796,370,426,0,0,0,8,8,24,60,134,206,199,157,30,52,218,306,432,596,734,631,435,168,657,1546,4724,3395,2938,2631,1515,593,310,169,369,944,2786,1905,1477,1186,651,306,222,135,772,2,3,26,38,91,137,213,155,77,30,298,1176,5487,18185,3673,3242,9427,18931,3703,10,23,188,554,10,11,91,692,13,2905,18083,11073,0,484,4802,5286,2020/07/06 14:00:00+00
131771,55,State,WI,2020/07/07 12:28:37+00,601012,32556,3639,18898,10019,16673,15808,75,1085,2575,7873,5687,4909,4484,2939,1553,978,473,805,377,428,0,0,1,8,8,25,60,136,208,200,159,31,53,221,312,436,601,737,641,438,169,676,1581,4881,3461,2992,2678,1543,602,314,170,378,941,2771,1914,1481,1205,659,310,226,134,777,2,3,27,38,91,137,213,158,78,30,300,1192,5560,18577,3686,3241,9511,19333,3712,10,23,192,558,10,12,93,698,14,2957,18561,11038,9,495,12099,12594,2020/07/07 14:00:00+00
133246,55,State,WI,2020/07/08 12:35:51+00,611150,33154,3683,19304,10167,16994,16082,78,1113,2628,8046,5804,4979,4560,2987,1569,992,476,807,378,429,0,0,0,8,8,25,60,136,208,200,162,31,52,224,314,441,612,747,647,446,169,696,1620,5005,3536,3055,2723,1571,608,318,172,386,956,2817,1954,1483,1225,669,314,228,135,784,2,3,27,38,91,139,214,160,80,30,310,1205,5634,18986,3713,3306,9619,19721,3814,10,23,192,560,10,12,93,700,14,3017,18962,11175,2,598,10138,10736,2020/07/08 14:00:00+00
134721,55,State,WI,2020/07/09 14:19:09+00,623554,33908,3726,19756,10426,17386,16442,80,1134,2711,8287,5941,5083,4649,3026,1597,1001,479,809,379,430,0,0,0,8,8,25,60,136,210,200,162,32,54,225,320,446,618,756,657,448,170,715,1662,5152,3622,3109,2789,1591,620,324,172,387,995,2910,1999,1528,1242,679,320,229,137,787,2,3,27,38,91,139,215,162,80,30,317,1225,5730,19513,3747,3376,9744,20259,3905,10,23,192,562,11,11,94,702,13,3071,19446,11391,2,754,12404,13158,2020/07/09 14:00:00+00
136196,55,State,WI,2020/07/10 12:58:22+00,635411,34753,3766,20215,10772,17826,16848,79,1176,2796,8571,6104,5171,4748,3070,1624,1012,481,814,380,434,0,0,0,8,8,25,60,140,210,201,162,32,56,234,321,448,623,763,664,455,170,735,1712,5300,3716,3162,2847,1617,626,327,173,409,1028,3037,2067,1561,1278,690,334,230,138,792,3,3,27,38,92,139,217,162,81,30,325,1249,5845,20129,3772,3433,9913,20853,3987,10,23,192,566,11,12,96,706,12,3134,19932,11687,5,845,11857,12702,2020/07/10 14:00:00+00
