OBJECTID,GEOID,GEO,NAME,NEGATIVE,POSITIVE,HOSP_YES,HOSP_NO,HOSP_UNK,POS_FEM,POS_MALE,POS_OTH,POS_0_9,POS_10_19,POS_20_29,POS_30_39,POS_40_49,POS_50_59,POS_60_69,POS_70_79,POS_80_89,POS_90,DEATHS,DTHS_FEM,DTHS_MALE,DTHS_OTH,DTHS_0_9,DTHS_10_19,DTHS_20_29,DTHS_30_39,DTHS_40_49,DTHS_50_59,DTHS_60_69,DTHS_70_79,DTHS_80_89,DTHS_90,IP_Y_0_9,IP_Y_10_19,IP_Y_20_29,IP_Y_30_39,IP_Y_40_49,IP_Y_50_59,IP_Y_60_69,IP_Y_70_79,IP_Y_80_89,IP_Y_90,IP_N_0_9,IP_N_10_19,IP_N_20_29,IP_N_30_39,IP_N_40_49,IP_N_50_59,IP_N_60_69,IP_N_70_79,IP_N_80_89,IP_N_90,IP_U_0_9,IP_U_10_19,IP_U_20_29,IP_U_30_39,IP_U_40_49,IP_U_50_59,IP_U_60_69,IP_U_70_79,IP_U_80_89,IP_U_90,IC_YES,IC_Y_0_9,IC_Y_10_19,IC_Y_20_29,IC_Y_30_39,IC_Y_40_49,IC_Y_50_59,IC_Y_60_69,IC_Y_70_79,IC_Y_80_89,IC_Y_90,POS_AIAN,POS_ASN,POS_BLK,POS_WHT,POS_MLTOTH,POS_UNK,POS_E_HSP,POS_E_NHSP,POS_E_UNK,DTH_AIAN,DTH_ASN,DTH_BLK,DTH_WHT,DTH_MLTOTH,DTH_UNK,DTH_E_HSP,DTH_E_NHSP,DTH_E_UNK,POS_HC_Y,POS_HC_N,POS_HC_UNK,DTH_NEW,POS_NEW,NEG_NEW,TEST_NEW,DATE,PROP_0_9,PROP_10_19,PROP_20_29,PROP_30_39,PROP_40_49,PROP_50_59,PROP_60_69,PROP_70
64632,55035,County,Eau Claire,946,21,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,51,51,2020/04/08 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
64705,55035,County,Eau Claire,949,21,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,3,2020/04/09 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
64778,55035,County,Eau Claire,1051,21,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,102,102,2020/04/10 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
65150,55035,County,Eau Claire,1082,21,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,31,31,2020/04/11 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
66868,55035,County,Eau Claire,1142,21,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,60,60,2020/04/12 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
68100,55035,County,Eau Claire,1153,21,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11,11,2020/04/13 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
69337,55035,County,Eau Claire,1193,21,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,40,40,2020/04/14 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
71050,55035,County,Eau Claire,1250,21,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,57,57,2020/04/15 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
72525,55035,County,Eau Claire,1287,22,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,37,38,2020/04/16 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
74620,55035,County,Eau Claire,1331,22,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,44,44,2020/04/17 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
75475,55035,County,Eau Claire,1377,22,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,46,46,2020/04/18 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
76950,55035,County,Eau Claire,1412,22,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,35,35,2020/04/19 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
78564,55035,County,Eau Claire,1454,22,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,42,42,2020/04/20 14:00:00+00,NA,NA,NA,NA,NA,NA,NA,NA
